Title,VOD service name,Rating
Nimona,Netflix,7.33
Fenomen,Netflix,7.29
Zaopiekujcie się Mayą,Netflix,7.08
Bill Russell: Legenda NBA,Netflix,7.04
Wham!,Netflix,6.88
Jesteśmy idealni,Netflix,6.78
Stan Lee,Disney+,6.77
"Na planie serialu ""The Last of Us""",HBO MAX,6.7
Ślicznotka: Historia Brooke Shields,Disney+,6.69
Głodni,Netflix,6.63
Magiczna słonica,Netflix,6.62
Siła ducha,Netflix,6.59
Black Clover: Mahō Tei no Ken,Netflix,6.5
Dusiciel z Bostonu,Disney+,6.22
Ulica Rye Lane,Disney+,6.2
Flamin' Hot: Smak sukcesu,Disney+,6.16
Martwe zło: Przebudzenie,HBO MAX,6.02
Misja: Bal,Disney+,6
Mumie,HBO MAX,5.88
Najlepszy rzut Changa,Disney+,5.67
Ant-Man i Osa: Kwantomania,Disney+,5.57
Shazam! Gniew bogów,HBO MAX,5.55
Biali nie potrafią skakać,Disney+,5.37
Klub zabójców,Canal+,5.08
Magic Mike: Ostatni taniec,HBO MAX,4.93
Quasi,Disney+,4.91
Domówka,HBO MAX,4.25
Zabójca,Canal+,4.05
